fecha,titulo,texto,etiquetas,categoria
1996-10-01, 'Protesta',comentari fot pap port 23 septiembr lee poc mil librepens acrat altern protest paris reims continuacion provoc imag victim culpabiliz comentari refier salud dolor muert franc primer vez 20 anos crei leyend port period madrilen cre protest poc mil asist sin mas bien dogmat desiguald intoler dia combat radical much almas ciudadan frances lleg magnif conquist espiritu declaracion derech hombr lueg suertepas pagin siguientevien pagin anteriorqu franci mil librepens etceter,politica,1
1996-10-01, 'Derechos de los niños',nunc entend derech nin tan import adult articul titul cas mil nin pais doming 15 septiembr pon manifiest segu evolucion nin cuent propied padr patern matern be ten matiz escap hech 18 anos depend as person pued ser men buen padr siempr oid fras respet mayor recuerd empec rebel respond habr respet mund segur edad suficient respet ser cuestion cantid mas anos mas respet consig doy graci hab padr mios convenc deb suert si sid asi vid podri hab sid asco cre maravill hech ayud,politica,1
1996-10-01, 'Agencia Tributaria',leer articul public dia 13 septiembr titul llam pas quinc dias referent servici inform agenci tributari pued evit manifest ocurr siempr realiz consult declaracion rent dirig agenci tributari barcelon hech produj primer agost moment aglomeracion public tambi personal primer consult hic telefon inform correct ampli obten informacion concret des desplaz personal oficin consult expedient sistem informat funcion funcionari atendi molest localiz fisic expedient aun archiv obtuv respuest concret situacion declaracion debi hac solucion problem sorprend mism escrib cart molest leer cit articul habi sid grat sorprend trat eficaci institucion personal servici,politica,1
1996-10-01, 'Profesionales y solidaridad',veran sid play bar cop fiest mas mill espanol mujer aprovech vacacion colabor voluntari ong hispanoamer afric asi plataform promocion voluntari calcul pais 500 000 voluntari llam atencion casi 800 000 profesional espanol ingenier payas medic abog veterinari estan integr actual asoci llam fronter cubr camp activ segun pabl vidal respons comit solidar setem servici terc mund voluntari realiz multipl activ educacion sanitari campan prevencion higien vacunacion reforestacion medioambiental campan alfabetizacion apoy escuel rural etceter sodepaz solidar desarroll paz explic boc secretari dedic ayud nin call form maestr constru letrin comun rural etceter perfil voluntari espanol jov 25 30 anos porcentaj alto mujer vuelv viaj impact motiv vist mayori incorpor ano algun asociacion brav joven,otros,0
1996-10-01, 'Expolio',madrilen quier manifest profund indignacion expoli comet cad vez mas escas patrimoni histor maltrat ciud reproch madrilen sig imperterrit tropeli comet inept gobiern municipal consent comun madr deterior des troz rest independient mayor menor import histor patrimoni madrilen ningun alcald pued decid libr albedri trasl destruccion esper vez tod reaccion tom concienci aberr urbanist especul comet continu ciud total indiferent ojal futur ciudadan madr pag impuest mas elev ciudad espanol goz mejor prestacion elij represent person quier preocup verdader ciud procur modernizacion desarroll,politica,1
1996-10-02, 'Prelado anónimo',period dia 15 actual prel anonim vatican opin situacion iglesi form proced cab puntualiz siguient 1 prel dign curi dad grad irrespons 2 revel sant padr juan pabl ii tumor baj tratamient intens delic form anonim minim apunt gran imprudent 3 dec minori pregunt sirv viaj mensaj hac incompetent si sup dar explicacion clar interlocutor asunt tan import ajen agradari prel hic pap,politica,1
1996-10-02, 'Testigo',dia 16 septiembr quis fortun testig dos hech diferent si mism tiemp relacion lleg cas coch form part pequen col coch origin siempr vam detr autobus line 64 detr circul coch polici municipal pront pus march rotat siren supong alert algun llam trat adelant pequen caravan invad contrari call gran veloc moment circul opuest pequen todoterren ambos colision estrepit aparqu vehicul 10 metr cas observ escen polici empen conductor suzuki vit debi hab apart adond pregunt call acer medi metr lad autobus iban mision teni preferent hech conductor hiz frent llam mas polici mas polici prest encasquet gorr habi dej coch pregunt si impresion cas men medi hor junt alli trop consistent dos renault 19 dos citr zx dos citr zx familiar blanc marc extern aparent aunqu llen tambi polici ambul samur aunqu habi ningun her gru emitr furgonet peugeot box investigacion accident tambi polici municipal total sum mas 25 agent distint graduacion aparc coch ambas acer reduc call unic carril produc pequen embotell cruz dos autobus pas ambul direccion clinic puert hierr tras hor medi convers hac sopl pobr hombr mas docen vec cont alcoholimetr inclus registr coch llev hombr comisari quer desgraci mism noch rob negoci situ men 100n metr lug cit anterior tab entonc enorm des plieg policial dign pelicul american polici municipal ocasion comport pand cazarrecompens hac veng docen agent estupidez ocasion llam 092 tard ven mas tres cuart hor pas patrull call suficient efect men soberbi gan impresion projim ocasion narr anterior sig impresion cad dia mas form actuai cuerp,otros,0
1996-10-02, 'Máquinas de guerra',secretari defens unid senor william perry declar estanci estocolm ver elpas pagin siguientevien pagin anteriorpais 23 septiembr pagin 4 tod evident habi vist ultim cuatr cinc dias posit crei verd irak retract accion amenaz habi adopt haci seman obstant vam segu observ cuidad cad dia cad hor qued aquell amenaz respuest provocacion husein iba ser contundent desproporcion van emple famos avion invis stealth van arroj bomb formid b 52 tod dur leccion unid ven oblig recurr seri eufemist declar camufl impotent hab dad sadam husein escarmient segun merec calcul mal potenci destructor pais mas poder tierr ali discrep polit suces esper moder lenguaj movimient maquin guerr,politica,1
1996-10-02, 'Propaganda',entro portal mir direct buzon pur rutin sorpres revist interior ilusion moment concuerd aunqu podri ser casual vecin unas 22 famili revist buzon casual propagand voy direct mir numer pagin revist horror 360 revist prim pensamient dan asco vomit segund nunc comerci graci revist cre jam ver pel cabez problem matemat 300 pagin revist 5 gram papel pes bloqu van 22 reas 6 600 pagin mas 11 kil papel multiplic vet sab cuant bloqu da total impresion deb ser unas cuant tonel papel fin cab servir recicl total peor hech si sin detr escond pasiv problem poc med limit 1 restrict exist propagand masiv follet revist dem cas cuart part papel utiliz propagand recicl segun cre si institu pertinent sig postur sol falt esper moment lleg lament tierr deforestacion total,otros,0
1996-10-02, 'Maceteros',barri salamanc estan instal especi maceter evit automovil ocup pas peaton result autor ide cont falt civism conductor ocurr cos mejor coloc dich maceter distanci tal ambos cab coch coch sig invad pas ahor florer cad lad tod form ide buen aunqu car quiz unas horquill fuert hinc buen profund obtendri mism result ahor cuest sol encrucij call quiz podri atend unas 10 encrucij mas ver si cund ejempl sig dem distrit,politica,1
